--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
089.532  006.132  001.804: require('telescope.make_entry')
025.756  001.800  001.800: require('mini.icons')
038.350  001.800  001.800: require('mini.pairs')
329.231  010.994  001.796: require('vim.lsp')
058.031  003.851  001.754: require('telescope.previewers.buffer_previewer')
156.369  003.654  001.753: require('vim.treesitter.query')
164.630  002.462  001.746: require('vim.lsp.util')
041.477  001.735  001.735: require('mini.pairs')
054.442  003.910  001.713: require('telescope.previewers.buffer_previewer')
061.417  004.179  001.706: require('telescope.previewers.buffer_previewer')
231.703  038.474  001.706: require('luasnip.loaders.from_vscode')
157.089  002.378  001.705: require('vim.lsp.util')
220.716  002.868  001.675: require('luasnip.util._builtin_vars')
025.865  001.675  001.675: require('mini.icons')
082.362  005.059  001.671: require('plenary.path')
297.541  001.671  001.671: require('nui.utils.autocmd')
025.976  001.668  001.668: require('mini.icons')
231.923  038.837  001.668: require('luasnip.loaders.from_vscode')
461.391  002.901  001.645: require('telescope._extensions.file_browser.actions')
213.853  002.379  001.641: require('vim.lsp.util')
025.086  001.641  001.641: require('mini.icons')
064.525  003.941  001.624: require('nvim-treesitter.parsers')
185.113  001.614  001.614: require('dracula.groups')
057.801  003.465  001.613: require('telescope.previewers.buffer_previewer')
092.741  005.636  001.612: require('luasnip.nodes.snippet')
468.305  001.610  001.610: require('nui.utils')
188.427  001.609  001.609: require('dracula.groups')
064.323  004.009  001.600: require('nvim-treesitter.parsers')
180.705  007.978  001.597: require('colorizer')
090.855  002.162  001.586: require('plenary.job')
207.190  001.581  001.581: require('luasnip.loaders.fs_watchers')
479.313  002.303  001.578: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
164.079  019.782  001.578: require('nvim-treesitter.install')
155.726  004.912  001.575: require('nvim-treesitter.configs')
199.652  004.755  001.574: require('luasnip.util.util')
061.512  001.566  001.566: require('lualine.highlight')
415.389  020.151  001.561: require('cmp.core')
459.226  002.818  001.554: require('telescope._extensions.file_browser.actions')
338.855  009.147  001.553: sourcing /etc/xdg/nvim/plugin/keymap.lua
078.652  004.654  001.553: require('plenary.path')
023.405  001.548  001.548: require('mini.surround')
061.219  003.904  001.543: require('nvim-treesitter.parsers')
478.851  002.696  001.542: require('telescope._extensions.file_browser.actions')
054.059  007.673  001.539: require('telescope.actions')
023.668  001.533  001.533: require('mini.surround')
166.690  004.857  001.525: require('toggleterm')
163.338  004.691  001.508: require('nvim-treesitter.configs')
064.916  003.847  001.508: require('nvim-treesitter.parsers')
089.521  002.010  001.500: require('telescope.utils')
154.988  004.855  001.495: require('vim.treesitter.languagetree')
500.391  002.137  001.493: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
057.402  003.476  001.492: require('telescope.previewers.buffer_previewer')
508.880  001.491  001.491: require('cmp_path')
059.583  001.476  001.476: require('lualine.highlight')
015.986  001.474  001.474: require('mini.animate')
213.566  002.519  001.473: require('luasnip.nodes.util')
107.877  001.469  001.469: require('telescope.sorters')
503.624  001.468  001.468: require('cmp_cmdline')
172.255  001.458  001.458: require('toggleterm.terminal')
094.010  001.969  001.455: require('telescope.utils')
172.328  002.033  001.454: require('vim.lsp.util')
160.641  014.728  001.450: require('nvim-treesitter.install')
068.222  003.824  001.449: require('nvim-treesitter.parsers')
034.400  001.441  001.441: require('mini.jump')
181.161  007.953  001.440: require('colorizer')
093.392  006.357  001.439: require('luasnip.nodes.snippet')
139.672  001.438  001.438: require('nvim-devdocs.transpiler')
213.990  004.319  001.438: require('luasnip.nodes.node')
015.624  001.434  001.434: require('mini.animate')
102.182  002.234  001.432: require('telescope._')
405.527  020.109  001.431: require('cmp.core')
095.046  001.800  001.429: require('luasnip.util._builtin_vars')
319.653  002.351  001.429: require('luasnip')
178.983  002.029  001.423: require('vim.lsp.util')
154.444  002.850  001.423: require('vim.treesitter.query')
006.528  003.222  001.418: require('vim._defaults')
329.135  001.416  001.416: require('vim.lsp.rpc')
023.222  001.416  001.416: require('mini.surround')
050.672  006.407  001.416: require('telescope.actions')
207.167  001.413  001.413: require('luasnip.loaders.fs_watchers')
013.382  001.410  001.410: require('mini.ai')
118.874  001.409  001.409: require('telescope.sorters')
087.471  001.954  001.407: require('plenary.job')
333.209  001.406  001.406: require('vim.lsp.rpc')
205.501  001.405  001.405: require('luasnip.loaders.fs_watchers')
315.466  002.292  001.403: require('luasnip')
232.838  036.859  001.399: require('luasnip.loaders.from_vscode')
021.514  001.399  001.399: require('mini.surround')
015.301  001.393  001.393: require('mini.animate')
051.215  006.349  001.390: require('telescope.actions')
402.586  022.585  001.385: require('cmp.core')
053.059  011.036  001.381: require('telescope.pickers')
512.013  001.381  001.381: require('cmp_luasnip')
022.711  001.373  001.373: require('mini.surround')
500.341  002.556  001.368: require('cmp_buffer.buffer')
323.616  002.300  001.367: require('luasnip')
199.653  004.942  001.357: require('luasnip.util.util')
186.048  003.295  001.356: sourcing /usr/share/nvim_plugged/dracula/colors/dracula.lua
056.119  001.355  001.355: require('lualine.highlight')
336.948  001.343  001.343: require('vim.lsp.rpc')
051.275  006.302  001.331: require('telescope.actions')
141.826  001.326  001.326: require('nvim-devdocs.keymaps')
005.321  001.326  001.326: require('vim.termcap')
189.096  002.934  001.325: sourcing /usr/share/nvim_plugged/dracula/colors/dracula.lua
047.648  006.107  001.325: require('telescope.actions')
114.346  001.320  001.320: require('telescope.sorters')
479.785  001.319  001.319: require('nui.layout.split')
395.693  002.727  001.316: require('cmp.entry')
488.794  004.973  001.314: require('nui.popup.border')
185.745  002.925  001.311: sourcing /usr/share/nvim_plugged/dracula/colors/dracula.lua
013.005  001.292  001.292: require('mini.ai')
013.790  001.287  001.287: require('mini.ai')
083.398  001.800  001.287: require('plenary.job')
472.732  005.446  001.281: require('nui.popup.border')
167.907  001.279  001.279: require('toggleterm.terminal')
012.931  001.275  001.275: require('mini.ai')
214.076  002.303  001.269: require('luasnip.nodes.util')
015.987  001.268  001.268: require('mini.animate')
038.582  001.259  001.259: require('mini.jump')
468.455  003.623  001.255: require('nui.popup.border')
004.518  001.252  001.252: require('vim.termcap')
488.994  001.242  001.242: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
014.036  001.234  001.234: require('mini.ai')
004.862  001.226  001.226: require('vim.termcap')
131.978  001.219  001.219: require('plenary.curl')
014.910  001.208  001.208: require('mini.animate')
184.418  007.134  001.205: require('colorizer')
500.325  001.188  001.188: require('cmp_buffer.timer')
399.483  002.448  001.185: require('cmp.entry')
135.271  005.655  001.174: require('nvim-devdocs.operations')
052.493  010.632  001.170: require('telescope.pickers')
004.948  001.159  001.159: sourcing /etc/xdg/nvim/plugin/plug.vim
205.601  005.946  001.158: require('luasnip.loaders.util')
199.624  002.993  001.155: require('luasnip.default_config')
486.975  001.153  001.153: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
409.017  002.420  001.150: require('cmp.entry')
005.680  001.149  001.149: sourcing /etc/xdg/nvim/plugin/plug.vim
005.503  001.148  001.148: sourcing /etc/xdg/nvim/plugin/plug.vim
004.880  001.132  001.132: sourcing /etc/xdg/nvim/plugin/plug.vim
215.530  006.410  001.129: require('vim.lsp')
053.092  010.403  001.128: require('telescope.pickers')
139.933  001.583  001.127: require('luasnip.util._builtin_vars')
056.102  012.012  001.127: require('telescope.pickers')
004.875  001.127  001.127: sourcing /etc/xdg/nvim/plugin/plug.vim
458.049  001.127  001.127: require('telescope.builtin')
049.471  010.199  001.125: require('telescope.pickers')
331.793  001.117  001.117: require('vim.lsp.sync')
327.708  001.116  001.116: require('vim.lsp.sync')
204.704  002.891  001.110: require('luasnip.session.snippet_collection')
295.591  001.105  001.105: require('nui.utils')
214.277  002.183  001.105: require('luasnip.nodes.util')
286.178  001.101  001.101: require('nui.utils')
201.350  004.020  001.096: require('luasnip.util.util')
122.273  001.860  001.095: sourcing /usr/share/nvim_plugged/dracula/colors/dracula.lua
335.595  001.091  001.091: require('vim.lsp.sync')
493.443  001.089  001.089: sourcing /usr/share/nvim/runtime/plugin/man.lua
232.215  008.442  001.083: require('cmp.core')
051.906  001.081  001.081: require('lualine_require')
214.527  003.776  001.080: require('luasnip.nodes.node')
478.458  001.077  001.077: require('nui.layout.float')
160.049  003.790  001.070: require('nvim-treesitter.configs')
166.140  006.360  001.066: require('vim.lsp')
276.671  009.529  001.065: require('cmp.core')
141.177  006.758  001.059: require('luasnip.nodes.snippet')
219.413  009.624  001.059: require('cmp.core')
176.948  001.058  001.058: require('vim.lsp.protocol')
464.918  008.852  001.057: sourcing /etc/xdg/nvim/plugin/keymap.lua
227.936  009.659  001.055: require('cmp.core')
161.737  001.050  001.050: require('todo-comments.highlight')
158.660  006.273  001.046: require('vim.lsp')
400.216  001.474  001.044: require('cmp.view.custom_entries_view')
273.263  001.801  001.042: require('telescope._extensions.file_browser.actions')
214.659  003.583  001.042: require('luasnip.nodes.node')
290.016  005.590  001.038: sourcing /etc/xdg/nvim/plugin/keymap.lua
154.706  001.035  001.035: require('vim.lsp.protocol')
508.931  002.525  001.033: sourcing /usr/share/nvim_plugged/cmp-path/after/plugin/cmp_path.lua
475.673  001.032  001.032: require('telescope.builtin')
455.954  001.029  001.029: require('telescope.builtin')
162.163  001.025  001.025: require('vim.lsp.protocol')
233.286  008.277  001.021: require('cmp.core')
201.808  001.021  001.021: require('luasnip.util.path')
347.918  008.603  001.020: require('nui.layout')
010.106  001.448  001.012: sourcing /usr/share/nvim/runtime/filetype.lua
133.842  001.011  001.011: require('nvim-devdocs.transpiler')
505.276  001.006  001.006: sourcing /usr/share/nvim_plugged/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
282.854  005.116  001.004: require('nui.popup.border')
474.403  001.001  001.001: require('nui.utils.autocmd')
056.987  000.993  000.993: require('lualine_require')
296.979  004.944  000.990: require('nui.popup.border')
132.411  001.786  000.989: require('telescope.previewers.term_previewer')
130.471  000.976  000.976: require('conform')
180.512  005.852  000.971: require('vim.lsp')
416.465  021.974  000.971: require('cmp')
143.511  000.970  000.970: require('nvim-devdocs.filetypes')
089.390  006.745  000.969: require('luasnip.nodes.snippet')
287.481  001.704  000.963: require('telescope._extensions.file_browser.actions')
074.181  000.961  000.961: require('minintro')
157.116  007.546  000.959: require('vim.treesitter')
172.270  003.386  000.958: require('toggleterm')
275.736  005.574  000.958: sourcing /etc/xdg/nvim/plugin/keymap.lua
113.588  002.316  000.956: require('plenary.popup')
346.216  004.594  000.954: require('nui.popup.border')
211.470  000.953  000.953: require('vim.lsp.protocol')
096.355  007.010  000.951: require('luasnip.nodes.snippet')
167.924  003.249  000.950: require('toggleterm')
011.532  001.375  000.949: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
085.362  006.733  000.946: require('plenary.log')
462.593  008.436  000.945: sourcing /etc/xdg/nvim/plugin/keymap.lua
406.535  021.882  000.945: require('cmp')
231.144  000.944  000.944: require('luasnip.util.jsonc')
230.942  000.943  000.943: require('luasnip.util.jsonc')
137.671  000.934  000.934: require('plenary.curl')
039.316  002.545  000.928: require('telescope.make_entry')
481.797  007.915  000.920: sourcing /etc/xdg/nvim/plugin/keymap.lua
039.051  002.412  000.918: require('telescope.make_entry')
008.744  001.263  000.916: sourcing /usr/share/nvim/runtime/filetype.lua
215.969  001.441  000.909: require('luasnip.nodes.insertNode')
291.098  001.592  000.907: require('telescope._extensions.file_browser.actions')
085.539  000.904  000.904: require('conform')
333.402  011.822  000.903: require('lspconfig.util')
055.273  000.899  000.899: require('lualine_require')
074.071  001.590  000.899: sourcing /usr/share/nvim_plugged/dracula/colors/dracula.lua
347.050  006.299  000.898: require('nui.popup')
164.642  000.897  000.897: require('todo-comments.highlight')
215.389  001.396  000.895: require('luasnip.nodes.insertNode')
077.469  001.559  000.892: sourcing /usr/share/nvim_plugged/dracula/colors/dracula.lua
